computeID,SigmaID,Sigma#,DisAxis U,DisAxis V,DisAxis W,DisAngle,Rvec 1,Rvec 2,Rvec 3,BP N1,BP N2,BP N3,planeID,BPFZ A N1,BPFZ A N2,BPFZ A N3,BPFZ B N1,BPFZ B N2,BPFZ B N3,BPFZ Stereo X,BPFZ Stereo Y,A11,A12,A13,A21,A22,A23,A31,A32,A33,B11,B12,B13,B21,B22,B23,B31,B32,B33,numStructsMinimized,minEnergyStructID,minGBenergy,minEnergyStructFname
S139b_fcc_Nn8_67_112_Al_M99_200714,139b,139,5,1,1,25.4610556,0.2173913,0.0434783,0.0434783,-8,67,112,S139b_fcc_n-8_67_112,1,-14,-130,-8,67,112,-0.1414534,0.6023507,-81,-8,-1,829,-9080,5491,-8,67,112,-80,-15,1,1964,-10399,1135,-1,14,130,4075,4166,563,struct_S139b_fcc_Nn8_67_112_Al_M99_200714.4166.out
S131e_fcc_Nn283_64_241_Al_M99_210622,131e,131,5,5,4,60.2521974,0.3571429,0.3571429,0.2857143,-283,64,241,S131e_fcc_n-283_64_241,-44,-223,301,283,-64,-241,0.0216481,0.0918452,-7,18,-13,-2585,-2683,-2323,-283,64,241,-18,13,7,-2737,-2555,-2293,-44,-223,301,1320,1256,513,struct_S131e_fcc_Nn283_64_241_Al_M99_210622.1256.out
S139b_fcc_Nn113_95_53_Al_M99_200714,139b,139,5,1,1,25.4610556,0.2173913,0.0434783,0.0434783,-113,95,53,S139b_fcc_n-113_95_53,113,-53,-95,-113,95,53,0.5116349,0.859203,6,1,11,992,1561,-683,-113,95,53,7,-3,10,815,1795,-32,-113,53,95,6445,2494,490,struct_S139b_fcc_Nn113_95_53_Al_M99_200714.2494.out
S215e_fcc_N75_118_4_Al_M99_200714,215e,215,9,7,1,45.9449785,0.3333333,0.2592593,0.037037,75,118,4,S215e_fcc_n75_118_4,78,109,40,-75,-118,-4,-0.1405918,-0.1054692,14,-9,3,30,-13,-179,75,118,4,13,-6,-9,-57,94,-145,78,109,40,5934,3110,553,struct_S215e_fcc_N75_118_4_Al_M99_200714.3110.out
S197c_fcc_Nn53_47_33_Al_M99_200714,197c,197,7,3,1,31.7607144,0.2592593,0.1111111,0.037037,-53,47,33,S197c_fcc_n-53_47_33,45,-19,-61,-53,47,33,0.3390365,0.6251897,-7,-10,3,471,-72,859,-53,47,33,-6,-11,-1,652,-411,609,-45,19,61,17005,4417,510,struct_S197c_fcc_Nn53_47_33_Al_M99_200714.4417.out
S199c_fcc_Nn150_n95_64_Al_M99_210630,199c,199,6,1,0,35.5044562,0.3157895,0.0526316,0,-150,-95,64,S199c_fcc_n-150_-95_64,150,95,64,-146,-119,-12,0.7154499,0.3729675,3,2,10,-1078,1692,-15,-150,-95,64,4,-4,9,-1023,1362,1060,-146,-119,12,4008,2559,492,struct_S199c_fcc_Nn150_n95_64_Al_M99_210630.2559.out
S143b_fcc_N123_119_5_Al_M99_200714,143b,143,5,2,1,37.794879,0.3125,0.125,0.0625,123,119,5,S143b_fcc_n123_119_5,115,117,49,-123,-119,-5,-0.2010641,-0.0632844,-6,7,-19,-2296,2307,1575,123,119,5,-11,15,-10,-1905,611,3012,115,117,49,6340,2110,514,struct_S143b_fcc_N123_119_5_Al_M99_200714.2110.out
S245j_fcc_N4_n5_20_Al_M99_200714,245j,245,11,11,3,60.8068626,0.4074074,0.4074074,0.1111111,4,-5,20,S245j_fcc_n4_-5_20,80,-64,23,-4,5,-20,0.0847469,0.3790191,5,8,1,-55,32,19,4,-5,20,25,37,16,-125,-47,304,80,-64,23,8158,4912,449,struct_S245j_fcc_N4_n5_20_Al_M99_200714.4912.out
S43a_fcc_Nn1_n6_7_Al_M99_220118,43a,43,1,1,1,15.1781789,0.0769231,0.0769231,0.0769231,-1,-6,7,S43a_fcc_n-1_-6_7,7,-6,-1,-6,7,-1,1,0,-5,2,1,-10,-17,-16,-1,-6,7,-5,1,2,-10,-16,-17,1,-7,6,9027,24,391,struct_S43a_fcc_Nn1_n6_7_Al_M99_220118.24.out
S49c_fcc_Nn50_23_3_Al_M99_201228,49c,49,3,2,2,49.2271953,0.3333333,0.2222222,0.2222222,-50,23,3,S49c_fcc_n-50_23_3,46,9,-29,-50,23,3,0.3826342,0.7925994,4,7,13,139,331,-221,-50,23,3,8,1,13,-73,415,13,-46,-9,29,3048,1264,563,struct_S49c_fcc_Nn50_23_3_Al_M99_201228.1264.out
